,title,subtitle,link
0,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
1,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
2,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
3,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
4,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
5,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
6,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
7,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
8,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
9,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
10,WAT TO DO?,How Sesko and Watkins compare as Man Utd eye blockbuster deal to solve goal woes,https://www.thesun.co.uk/sport/36069459/benjamin-sesko-ollie-watkins-compare-man-utd-transfer/
